Data,Valuta,Descrizione,Uscite,Entrate
,2024-11-29,DISPOSIZIONE DI BONIFICO BONIFICO ISTANTANEO DEL 29.11.2024 ALLE 11.34.33 A: Lorenzo Barattin PER: Trasferimento TRN: 1191243345334074 COMM: 2.5 COMM SERV: 0,-17.52,
,2024-11-29,DISPOSIZIONE DI BONIFICO BONIFICO ISTANTANEO DEL 29.11.2024 ALLE 11.23.05 A: LORENZO BARATTIN PER: Trasferimento Fondi TRN: 1191243345329513 COMM: 2.5 COMM SERV: 0,-17.52,
,2024-11-29,PAYPAL *MICROSOFT,-2.0,
,2024-11-26,PAYPAL *PMNTSBVEATS,-1.17,
,2024-11-21,PAYPAL *EASYPARK,-0.26,
,2024-11-20,PAYPAL *SOUNDCLOUD,-11.0,
,2024-11-13,PayPal,-1.99,
,2024-11-08,TOTAL GATTIERES,-70.4,
,2024-11-04,ESCOTA MANDELIEU LA,-1.7,
,2024-11-04,ESCOTA MANDELIEU LA,-0.5,
,2024-11-04,ESCOTA MANDELIEU LA,-0.8,
,2024-11-04,ESCOTA MANDELIEU LA,-0.8,
,2024-11-04,TOTALE:,-125.66,
